Match,Team_Innings,Batting_Pos,Batsman,Runs,Balls,4s,6s,SR,out,ScoreID
England vs South Africa,England,1,Jason Roy ,54,53,8,0,101.88,1,ODI # 4143
England vs South Africa,England,2,Jonny Bairstow ,0,1,0,0,0,1,ODI # 4143
England vs South Africa,England,3,Joe Root ,51,59,5,0,86.44,1,ODI # 4143
England vs South Africa,England,4,Eoin Morgan ,57,60,4,3,95,1,ODI # 4143
England vs South Africa,England,5,Ben Stokes ,89,79,9,0,112.65,1,ODI # 4143
England vs South Africa,England,6,Jos Buttler ,18,16,0,0,112.5,1,ODI # 4143
England vs South Africa,England,7,Moeen Ali ,3,9,0,0,33.33,1,ODI # 4143
England vs South Africa,England,8,Chris Woakes ,13,14,1,0,92.85,1,ODI # 4143
England vs South Africa,England,9,Liam Plunkett ,9,6,1,0,150,0,ODI # 4143
England vs South Africa,England,10,Jofra Archer ,7,3,1,0,233.33,0,ODI # 4143
England vs South Africa,South Africa,1,Quinton de Kock ,68,74,6,2,91.89,1,ODI # 4143
England vs South Africa,South Africa,2,Hashim Amla ,13,23,1,0,56.52,1,ODI # 4143
England vs South Africa,South Africa,3,Aiden Markram ,11,12,2,0,91.66,1,ODI # 4143
England vs South Africa,South Africa,4,Faf du Plessis ,5,7,1,0,71.42,1,ODI # 4143
England vs South Africa,South Africa,5,Rassie van der Dussen ,50,61,4,1,81.96,1,ODI # 4143
England vs South Africa,South Africa,6,Jean-Paul Duminy ,8,11,1,0,72.72,1,ODI # 4143
England vs South Africa,South Africa,7,Dwaine Pretorius ,1,1,0,0,100,1,ODI # 4143
England vs South Africa,South Africa,8,Andile Phehlukwayo ,24,25,4,0,96,1,ODI # 4143
England vs South Africa,South Africa,9,Kagiso Rabada ,11,19,2,0,57.89,1,ODI # 4143
England vs South Africa,South Africa,10,Lungi Ngidi ,6,5,0,1,120,0,ODI # 4143
England vs South Africa,South Africa,11,Imran Tahir ,0,1,0,0,0,1,ODI # 4143
Pakistan vs West Indies,Pakistan,1,Imam-ul-Haq ,2,11,0,0,18.18,1,ODI # 4144
Pakistan vs West Indies,Pakistan,2,Fakhar Zaman ,22,16,2,1,137.5,1,ODI # 4144
Pakistan vs West Indies,Pakistan,3,Babar Azam ,22,33,2,0,66.66,1,ODI # 4144
Pakistan vs West Indies,Pakistan,4,Haris Sohail ,8,11,1,0,72.72,1,ODI # 4144
Pakistan vs West Indies,Pakistan,5,Sarfaraz Ahmed ,8,12,1,0,66.66,1,ODI # 4144
Pakistan vs West Indies,Pakistan,6,Mohammad Hafeez ,16,24,2,0,66.66,1,ODI # 4144
Pakistan vs West Indies,Pakistan,7,Imad Wasim ,1,3,0,0,33.33,1,ODI # 4144
Pakistan vs West Indies,Pakistan,8,Shadab Khan ,0,1,0,0,0,1,ODI # 4144
Pakistan vs West Indies,Pakistan,9,Hasan Ali ,1,4,0,0,25,1,ODI # 4144
Pakistan vs West Indies,Pakistan,10,Wahab Riaz ,18,11,1,2,163.63,1,ODI # 4144
Pakistan vs West Indies,Pakistan,11,Mohammad Amir ,3,6,0,0,50,0,ODI # 4144
Pakistan vs West Indies,West Indies,1,Chris Gayle ,50,34,6,3,147.05,1,ODI # 4144
Pakistan vs West Indies,West Indies,2,Shai Hope ,11,17,1,0,64.7,1,ODI # 4144
Pakistan vs West Indies,West Indies,3,Darren Bravo ,0,4,0,0,0,1,ODI # 4144
Pakistan vs West Indies,West Indies,4,Nicholas Pooran ,34,19,4,2,178.94,0,ODI # 4144
Pakistan vs West Indies,West Indies,5,Shimron Hetmyer ,7,8,0,0,87.5,0,ODI # 4144
Sri Lanka vs New Zealand,Sri Lanka,1,Lahiru Thirimanne ,4,2,1,0,200,1,ODI # 4145
Sri Lanka vs New Zealand,Sri Lanka,2,Dimuth Karunaratne ,52,84,4,0,61.9,0,ODI # 4145
Sri Lanka vs New Zealand,Sri Lanka,3,Kusal Perera ,29,24,4,0,120.83,1,ODI # 4145
Sri Lanka vs New Zealand,Sri Lanka,4,Kusal Mendis ,0,1,0,0,0,1,ODI # 4145
Sri Lanka vs New Zealand,Sri Lanka,5,Dhananjaya de Silva ,4,13,1,0,30.76,1,ODI # 4145
Sri Lanka vs New Zealand,Sri Lanka,6,Angelo Mathews ,0,9,0,0,0,1,ODI # 4145
Sri Lanka vs New Zealand,Sri Lanka,7,Jeevan Mendis ,1,4,0,0,25,1,ODI # 4145
Sri Lanka vs New Zealand,Sri Lanka,8,Thisara Perera ,27,23,0,2,117.39,1,ODI # 4145
Sri Lanka vs New Zealand,Sri Lanka,9,Isuru Udana ,0,3,0,0,0,1,ODI # 4145
Sri Lanka vs New Zealand,Sri Lanka,10,Suranga Lakmal ,7,13,1,0,53.84,1,ODI # 4145
Sri Lanka vs New Zealand,Sri Lanka,11,Lasith Malinga ,1,2,0,0,50,1,ODI # 4145
Sri Lanka vs New Zealand,New Zealand,1,Martin Guptill ,73,51,8,2,143.13,0,ODI # 4145
Sri Lanka vs New Zealand,New Zealand,2,Colin Munro ,58,47,6,1,123.4,0,ODI # 4145
Afghanistan vs Australia,Afghanistan,1,Mohammad Shahzad ,0,3,0,0,0,1,ODI # 4146
Afghanistan vs Australia,Afghanistan,2,Hazratullah Zazai ,0,2,0,0,0,1,ODI # 4146
Afghanistan vs Australia,Afghanistan,3,Rahmat Shah ,43,60,6,0,71.66,1,ODI # 4146
Afghanistan vs Australia,Afghanistan,4,Hashmatullah Shahidi ,18,34,3,0,52.94,1,ODI # 4146
Afghanistan vs Australia,Afghanistan,5,Mohammad Nabi ,7,22,0,0,31.81,1,ODI # 4146
Afghanistan vs Australia,Afghanistan,6,Gulbadin Naib ,31,33,4,1,93.93,1,ODI # 4146
Afghanistan vs Australia,Afghanistan,7,Najibullah Zadran ,51,49,7,2,104.08,1,ODI # 4146
Afghanistan vs Australia,Afghanistan,8,Rashid Khan ,27,11,2,3,245.45,1,ODI # 4146
Afghanistan vs Australia,Afghanistan,9,Dawlat Zadran ,4,6,1,0,66.66,1,ODI # 4146
Afghanistan vs Australia,Afghanistan,10,Mujeeb Ur Rahman ,13,9,1,1,144.44,1,ODI # 4146
Afghanistan vs Australia,Afghanistan,11,Hamid Hassan ,1,2,0,0,50,0,ODI # 4146
Afghanistan vs Australia,Australia,1,Aaron Finch ,66,49,6,4,134.69,1,ODI # 4146
Afghanistan vs Australia,Australia,2,David Warner ,89,114,8,0,78.07,0,ODI # 4146
Afghanistan vs Australia,Australia,3,Usman Khawaja ,15,20,1,0,75,1,ODI # 4146
Afghanistan vs Australia,Australia,4,Steven Smith ,18,27,1,0,66.66,1,ODI # 4146
Afghanistan vs Australia,Australia,5,Glenn Maxwell ,4,1,1,0,400,0,ODI # 4146
Bangladesh vs South Africa,Bangladesh,1,Tamim Iqbal ,16,29,2,0,55.17,1,ODI # 4147
Bangladesh vs South Africa,Bangladesh,2,Soumya Sarkar ,42,30,9,0,140,1,ODI # 4147
Bangladesh vs South Africa,Bangladesh,3,Shakib Al Hasan ,75,84,8,1,89.28,1,ODI # 4147
Bangladesh vs South Africa,Bangladesh,4,Mushfiqur Rahim ,78,80,8,0,97.5,1,ODI # 4147
Bangladesh vs South Africa,Bangladesh,5,Mohammad Mithun ,21,21,2,1,100,1,ODI # 4147
Bangladesh vs South Africa,Bangladesh,6,Mahmudullah ,46,33,3,1,139.39,0,ODI # 4147
Bangladesh vs South Africa,Bangladesh,7,Mosaddek Hossain ,26,20,4,0,130,1,ODI # 4147
Bangladesh vs South Africa,Bangladesh,8,Mehidy Hasan Miraz ,5,3,1,0,166.66,0,ODI # 4147
Bangladesh vs South Africa,South Africa,1,Quinton de Kock ,23,32,4,0,71.87,1,ODI # 4147
Bangladesh vs South Africa,South Africa,2,Aiden Markram ,45,56,4,0,80.35,1,ODI # 4147
Bangladesh vs South Africa,South Africa,3,Faf du Plessis ,62,53,5,1,116.98,1,ODI # 4147
Bangladesh vs South Africa,South Africa,4,David Miller ,38,43,2,0,88.37,1,ODI # 4147
