BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB,Bowling_Team,Match,ScoreID
Imran Tahir,10.0,0,61,2,6.1,20,4,0,0,0,South Africa,England vs South Africa,ODI # 4143
Lungi Ngidi,10.0,0,66,3,6.6,28,6,2,2,0,South Africa,England vs South Africa,ODI # 4143
Kagiso Rabada,10.0,0,66,2,6.6,24,8,0,2,0,South Africa,England vs South Africa,ODI # 4143
Dwaine Pretorius,7.0,0,42,0,6.0,17,5,0,0,0,South Africa,England vs South Africa,ODI # 4143
Andile Phehlukwayo,8.0,0,44,1,5.5,23,4,0,4,0,South Africa,England vs South Africa,ODI # 4143
Jean-Paul Duminy,2.0,0,14,0,7.0,3,1,0,0,0,South Africa,England vs South Africa,ODI # 4143
Aiden Markram,3.0,0,16,0,5.33,10,1,1,0,0,South Africa,England vs South Africa,ODI # 4143
Chris Woakes,5.0,0,24,0,4.8,20,4,0,0,0,England,England vs South Africa,ODI # 4143
Jofra Archer,7.0,1,27,3,3.85,29,4,0,1,0,England,England vs South Africa,ODI # 4143
Adil Rashid,8.0,0,35,1,4.37,27,4,0,0,0,England,England vs South Africa,ODI # 4143
Moeen Ali,10.0,0,63,1,6.3,28,6,2,0,0,England,England vs South Africa,ODI # 4143
Liam Plunkett,7.0,0,37,2,5.28,20,1,2,0,0,England,England vs South Africa,ODI # 4143
Ben Stokes,2.5,0,12,2,4.23,11,2,0,0,0,England,England vs South Africa,ODI # 4143
Sheldon Cottrell,4.0,0,18,1,4.5,17,3,0,1,0,West Indies,Pakistan vs West Indies,ODI # 4144
Jason Holder,5.0,0,42,3,8.4,15,2,3,0,0,West Indies,Pakistan vs West Indies,ODI # 4144
Andre Russell,3.0,1,4,2,1.33,14,0,0,0,0,West Indies,Pakistan vs West Indies,ODI # 4144
Carlos Brathwaite,4.0,0,14,0,3.5,14,1,0,0,0,West Indies,Pakistan vs West Indies,ODI # 4144
Oshane Thomas,5.4,0,27,4,4.76,21,3,0,1,2,West Indies,Pakistan vs West Indies,ODI # 4144
Mohammad Amir,6.0,0,26,3,4.33,22,3,0,1,0,Pakistan,Pakistan vs West Indies,ODI # 4144
Hasan Ali,4.0,0,39,0,9.75,11,4,2,1,0,Pakistan,Pakistan vs West Indies,ODI # 4144
Wahab Riaz,3.4,1,40,0,10.9,11,4,3,1,0,Pakistan,Pakistan vs West Indies,ODI # 4144
Matt Henry,7.0,0,29,3,4.14,29,4,0,1,0,New Zealand,Sri Lanka vs New Zealand,ODI # 4145
Trent Boult,9.0,0,44,1,4.88,34,5,0,4,0,New Zealand,Sri Lanka vs New Zealand,ODI # 4145
Lockie Ferguson,6.2,0,22,3,3.47,27,2,0,1,1,New Zealand,Sri Lanka vs New Zealand,ODI # 4145
