Team1,Team2,Winner,Margin,Ground,Date,ScoreID
England,South Africa,England,104 runs,The Oval,"May 30, 2019",ODI # 4143
Pakistan,West Indies,West Indies,7 wickets,Nottingham,"May 31, 2019",ODI # 4144
New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff,"Jun 1, 2019",ODI # 4145
Afghanistan,Australia,Australia,7 wickets,Bristol,"Jun 1, 2019",ODI # 4146
Bangladesh,South Africa,Bangladesh,21 runs,The Oval,"Jun 2, 2019",ODI # 4147
England,Pakistan,Pakistan,14 runs,Nottingham,"Jun 3, 2019",ODI # 4148
Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff,"Jun 4, 2019",ODI # 4149
India,South Africa,India,6 wickets,Southampton,"Jun 5, 2019",ODI # 4150
Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,"Jun 5, 2019",ODI # 4151
Australia,West Indies,Australia,15 runs,Nottingham,"Jun 6, 2019",ODI # 4152
England,Bangladesh,England,106 runs,Cardiff,"Jun 8, 2019",ODI # 4153
Afghanistan,New Zealand,New Zealand,7 wickets,Taunton,"Jun 8, 2019",ODI # 4154
Australia,India,India,36 runs,The Oval,"Jun 9, 2019",ODI # 4155
South Africa,West Indies,no result,-,Southampton,"Jun 10, 2019",ODI # 4156
Australia,Pakistan,Australia,41 runs,Taunton,"Jun 12, 2019",ODI # 4157
England,West Indies,England,8 wickets,Southampton,"Jun 14, 2019",ODI # 4158
Australia,Sri Lanka,Australia,87 runs,The Oval,"Jun 15, 2019",ODI # 4159
Afghanistan,South Africa,South Africa,9 wickets,Cardiff,"Jun 15, 2019",ODI # 4160
India,Pakistan,India,89 runs,Manchester,"Jun 16, 2019",ODI # 4161
Bangladesh,West Indies,Bangladesh,7 wickets,Taunton,"Jun 17, 2019",ODI # 4162
England,Afghanistan,England,150 runs,Manchester,"Jun 18, 2019",ODI # 4163
New Zealand,South Africa,New Zealand,4 wickets,Birmingham,"Jun 19, 2019",ODI # 4165
Australia,Bangladesh,Australia,48 runs,Nottingham,"Jun 20, 2019",ODI # 4166
England,Sri Lanka,Sri Lanka,20 runs,Leeds,"Jun 21, 2019",ODI # 4168
Afghanistan,India,India,11 runs,Southampton,"Jun 22, 2019",ODI # 4169
New Zealand,West Indies,New Zealand,5 runs,Manchester,"Jun 22, 2019",ODI # 4170
Pakistan,South Africa,Pakistan,49 runs,Lord's,"Jun 23, 2019",ODI # 4171
Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton,"Jun 24, 2019",ODI # 4172
England,Australia,Australia,64 runs,Lord's,"Jun 25, 2019",ODI # 4173
New Zealand,Pakistan,Pakistan,6 wickets,Birmingham,"Jun 26, 2019",ODI # 4174
India,West Indies,India,125 runs,Manchester,"Jun 27, 2019",ODI # 4175
South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street,"Jun 28, 2019",ODI # 4176
Afghanistan,Pakistan,Pakistan,3 wickets,Leeds,"Jun 29, 2019",ODI # 4177
Australia,New Zealand,Australia,86 runs,Lord's,"Jun 29, 2019",ODI # 4178
England,India,England,31 runs,Birmingham,"Jun 30, 2019",ODI # 4179
Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street,"Jul 1, 2019",ODI # 4180
Bangladesh,India,India,28 runs,Birmingham,"Jul 2, 2019",ODI # 4182
England,New Zealand,England,119 runs,Chester-le-Street,"Jul 3, 2019",ODI # 4183
Afghanistan,West Indies,West Indies,23 runs,Leeds,"Jul 4, 2019",ODI # 4184
Bangladesh,Pakistan,Pakistan,94 runs,Lord's,"Jul 5, 2019",ODI # 4186
India,Sri Lanka,India,7 wickets,Leeds,"Jul 6, 2019",ODI # 4187
Australia,South Africa,South Africa,10 runs,Manchester,"Jul 6, 2019",ODI # 4188
India,New Zealand,New Zealand,18 runs,Manchester,"Jul 9-10, 2019",ODI # 4190
England,Australia,England,8 wickets,Birmingham,"Jul 11, 2019",ODI # 4191
England,New Zealand,tied,-,Lord's,"Jul 14, 2019",ODI # 4192
