player,Birth_date,Odi played,role,batting style,Bowling Style ,Team
Gulbadin Naib,16 March 1991 (aged 28),55,All-rounder,Right,Right-armmedium-fast,Afghanistan
Rashid Khan,20 September 1998 (aged 20),59,Bowler,Right,Right-armleg spin,Afghanistan
Aftab Alam,30 November 1992 (aged 26),24,All-rounder,Right,Right-armmedium-fast,Afghanistan
Asghar Afghan,22 February 1987 (aged 32),102,Batsman,Right,Right-armoff spin,Afghanistan
Dawlat Zadran,19 March 1988 (aged 31),77,Bowler,Right,Right-armfast,Afghanistan
Hamid Hassan,1 June 1987 (aged 31),33,Bowler,Right,Right-armfast,Afghanistan
Hashmatullah Shahidi,4 November 1994 (aged 24),31,Batsman,Left,Right-armoff spin,Afghanistan
Hazratullah Zazai,23 March 1998 (aged 21),8,Batsman,Left,Left-arm orthodox,Afghanistan
Mohammad Nabi,3 March 1985 (aged 34),112,All-rounder,Right,Right-armoff spin,Afghanistan
Mohammad Shahzad,31 January 1988 (aged 31),82,Wicket-keeper,Right,—,Afghanistan
Mujeeb Ur Rahman,28 March 2001 (aged 18),30,Bowler,Right,Right-armoff spin,Afghanistan
Najibullah Zadran,18 February 1993 (aged 26),56,Batsman,Left,Right-armoff spin,Afghanistan
Noor Ali Zadran,10 July 1988 (aged 30),48,Batsman,Right,Right-armmedium-fast,Afghanistan
Rahmat Shah,16 March 1991 (aged 28),61,Batsman,Right,Right-armleg spin,Afghanistan
Samiullah Shinwari,31 December 1987 (aged 31),81,All-rounder,Right,Right-armleg spin,Afghanistan
Aaron Finch,17 November 1986 (aged 32),109,Batsman,Right,Left-arm orthodox,Australia
"Alex Carey(vc,wk)",27 August 1991 (aged 27),19,Wicket-keeper,Left,—,Australia
Pat Cummins,8 May 1993 (aged 26),48,All-rounder,Right,Right-armfast,Australia
Jason Behrendorff,20 April 1990 (aged 29),6,Bowler,Right,Left-armfast-medium,Australia
Nathan Coulter-Nile,11 October 1987 (aged 31),27,Bowler,Right,Right-armfast,Australia
